iter	Logloss
0	0.6557482639
1	0.6264664714
2	0.604882921
3	0.5847483181
4	0.5677555339
5	0.5552711046
6	0.5450209418
7	0.5374429253
8	0.5311421441
9	0.5262434896
10	0.52238227
11	0.5189723307
12	0.5152687174
13	0.5121649306
14	0.5097736545
15	0.5076698134
16	0.506101454
17	0.5046896159
18	0.5038213433
19	0.5028515082
20	0.5021251085
21	0.5016753472
22	0.500882487
23	0.5001662869
24	0.4996597222
25	0.4992327474
26	0.4987924805
27	0.4982387153
28	0.4978031684
29	0.4975476888
30	0.4973990343
31	0.4971563585
32	0.4969040799
33	0.4967703451
34	0.4964568142
35	0.4962618273
36	0.4950061849
37	0.4947631293
38	0.4946489258
39	0.4944118924
40	0.4942794054
41	0.49414898
42	0.4940800781
43	0.4939601237
44	0.4938422309
45	0.4937789171
46	0.4936210938
47	0.4935696615
48	0.4930516493
49	0.492862576
50	0.4920021701
51	0.4917757161
52	0.4914162326
53	0.491156467
54	0.4909867622
55	0.4909305556
56	0.4907603082
57	0.4907025825
58	0.4905367839
59	0.4899792209
60	0.4898856337
61	0.4898463542
62	0.4897683377
63	0.4896305881
64	0.489504503
65	0.4893720703
66	0.4887952474
67	0.4886360677
68	0.4885058594
69	0.4884670139
70	0.488383138
71	0.4883262804
72	0.4881930339
73	0.4881302083
74	0.4881083442
75	0.4880075412
76	0.4879048394
77	0.4874914822
78	0.4874743381
79	0.48738227
80	0.4873656684
81	0.4872217882
82	0.4872048069
83	0.4871259223
84	0.4870700955
85	0.4869925673
86	0.4865855035
87	0.4864999457
88	0.4863193359
89	0.4861987305
90	0.4861081272
91	0.4859892578
92	0.4859690755
93	0.485929362
94	0.4857612847
95	0.4857259657
96	0.4854012587
97	0.4850157878
98	0.4849138455
99	0.484824273
100	0.4846282552
101	0.4846030816
102	0.4842058377
103	0.4839404297
104	0.4838789063
105	0.4837914497
106	0.483723036
107	0.4836968316
108	0.4836353082
109	0.4835757921
110	0.4834692925
111	0.4833620334
112	0.4833119575
113	0.483231174
114	0.4831389974
115	0.4830975477
116	0.4829747179
117	0.4829439019
118	0.4828167318
119	0.4826828885
120	0.4826449653
121	0.482596951
122	0.4823075629
123	0.4822663845
124	0.4822338325
125	0.4819759657
126	0.4818422309
127	0.481722168
128	0.4816121419
129	0.4814826931
130	0.4812446832
131	0.4811781684
132	0.4809686957
133	0.4808961589
134	0.4808140734
135	0.4807144097
136	0.480659668
137	0.4805354275
138	0.4802349175
139	0.4801131185
140	0.4800990126
141	0.4800319553
142	0.4800088433
143	0.4799662543
144	0.4798626845
145	0.4797934028
146	0.479703125
147	0.4796656901
148	0.4796351997
149	0.4795733507
150	0.479468533
151	0.4793885091
152	0.4793689236
153	0.4792956814
154	0.4792647027
155	0.4791941189
156	0.4789466688
157	0.4788965386
158	0.4787838542
159	0.4787368707
160	0.4786666124
161	0.478633138
162	0.4784868707
163	0.4784147678
164	0.4783328993
165	0.4782713216
166	0.4781849501
167	0.4781628689
168	0.4781091037
169	0.4779875217
170	0.4779262695
171	0.477846951
172	0.4777629666
173	0.4775662977
174	0.4775013021
175	0.4774035373
176	0.4773060981
177	0.4771894531
178	0.477112576
179	0.4770353733
180	0.4769593641
181	0.4768968099
182	0.4768028429
183	0.4766279297
184	0.4765689019
185	0.4764558919
186	0.4764027778
187	0.4763110894
188	0.4761737196
189	0.4760682509
190	0.4760143229
191	0.4759558377
192	0.4758823242
193	0.4758193902
194	0.4757197266
195	0.4756029731
196	0.4754881185
197	0.4754320747
198	0.4753200955
199	0.4752437066
