iter	Passed	Remaining
0	1	283
1	2	270
2	5	342
3	9	471
4	11	453
5	13	439
6	15	416
7	16	402
8	18	387
9	19	377
10	21	367
11	23	365
12	25	362
13	27	360
14	29	360
15	30	354
16	32	349
17	33	343
18	35	338
19	37	337
20	39	332
21	41	331
22	43	332
23	45	333
24	47	329
25	48	325
26	50	322
27	52	319
28	53	317
29	55	316
30	57	313
31	59	312
32	61	312
33	63	308
34	64	305
35	66	302
36	68	299
37	70	298
38	72	297
39	74	296
40	76	295
41	77	293
42	79	290
43	81	288
44	82	285
45	84	283
46	86	282
47	88	281
48	91	281
49	93	279
50	94	276
51	96	274
52	98	272
53	99	269
54	101	267
55	103	265
56	105	265
57	108	264
58	109	262
59	111	259
60	112	257
61	114	254
62	115	251
63	117	250
64	121	252
65	123	251
66	125	248
67	126	245
68	127	242
69	128	239
70	130	236
71	131	233
72	132	230
73	133	227
74	138	230
75	140	229
76	142	226
77	143	225
78	145	222
79	147	220
80	149	219
81	150	216
82	152	215
83	154	213
84	156	211
85	158	209
86	160	207
87	161	205
88	163	203
89	164	201
90	166	199
91	168	197
92	170	195
93	172	194
94	174	192
95	175	190
96	177	188
97	178	186
98	180	184
99	182	182
100	183	179
101	186	179
102	188	177
103	189	175
104	191	172
105	192	170
106	194	168
107	195	166
108	197	164
109	198	162
110	202	162
111	205	161
112	207	159
113	209	158
114	211	156
115	213	154
116	214	152
117	216	150
118	218	148
119	220	146
120	222	145
121	224	143
122	225	141
123	227	139
124	229	137
125	230	135
126	232	133
127	234	132
128	236	130
129	238	128
130	240	126
131	241	124
132	243	122
133	244	120
134	245	118
135	247	116
136	249	114
137	252	113
138	254	111
139	256	109
140	257	107
141	259	105
142	260	103
143	262	101
144	268	101
145	269	99
146	271	97
147	273	95
148	274	94
149	276	92
150	278	90
151	280	88
152	282	86
153	284	85
154	287	83
155	289	81
156	290	79
157	292	77
158	294	75
159	296	74
160	298	72
161	300	70
162	302	68
163	304	66
164	306	64
165	307	63
166	309	61
167	311	59
168	313	57
169	314	55
170	317	53
171	319	52
172	321	50
173	323	48
174	325	46
175	326	44
176	328	42
177	330	40
178	332	38
179	334	37
180	337	35
181	338	33
182	340	31
183	342	29
184	344	27
185	346	26
186	348	24
187	350	22
188	352	20
189	354	18
190	356	16
191	358	14
192	359	13
193	362	11
194	364	9
195	367	7
196	372	5
197	374	3
198	375	1
199	379	0
